TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
           0, -0.0118526744, 0.2273023779, 0.0000000000, 0.0000000000, 0.0000000000, -0.0042801758, 0.2273023779, -0.0118526744, 0.0000000000, -0.0521449644, -1.5024443248, 0.7283838367, -11.5373698171, 3.9804012973, 0.0000000000, 5.0000000000, 10.0000000000, 0.0010732167
           1, -0.0233840641, 0.2555675909, 0.0000000000, 0.0000000000, 0.0000000000, -0.0094542700, 0.2555675909, -0.0233840641, 0.0000000000, -0.0914985503, -1.7730591125, 0.5242449347, 0.5564546051, 3.7169234043, 0.0000000000, 5.0000000000, 10.0000000000, 0.0021536000
           2, -0.0310942812, 0.2538667202, 0.0000000000, 0.0000000000, 0.0000000000, -0.0127606687, 0.2538667202, -0.0310942812, 0.0000000000, -0.1224826995, -1.9320057887, 0.4911980466, 0.5689322046, 3.5549082407, 0.0000000000, 5.0000000000, 10.0000000000, 0.0030810833
           3, -0.0358343170, 0.2481944971, 0.0000000000, 0.0000000000, 0.0000000000, -0.0147620015, 0.2481944971, -0.0358343170, 0.0000000000, -0.1443799817, -2.0324787983, 0.4740693443, 0.5555421339, 3.4451335438, 0.0000000000, 5.0000000000, 10.0000000000, 0.0039807167
           4, -0.0394852105, 0.2420592882, 0.0000000000, 0.0000000000, 0.0000000000, -0.0162674785, 0.2420592882, -0.0394852105, 0.0000000000, -0.1631220632, -2.0660673887, 0.4797093880, 0.5470603285, 3.4024822910, 0.0000000000, 5.0000000000, 10.0000000000, 0.0049332833
           5, -0.0424135935, 0.2354325507, 0.0000000000, 0.0000000000, 0.0000000000, -0.0174318411, 0.2354325507, -0.0424135935, 0.0000000000, -0.1801517818, -2.0742212866, 0.4960472733, 0.5430277296, 3.3871852638, 0.0000000000, 5.0000000000, 10.0000000000, 0.0059273833
           6, -0.0446952155, 0.2282703778, 0.0000000000, 0.0000000000, 0.0000000000, -0.0182961401, 0.2282703778, -0.0446952155, 0.0000000000, -0.1957994545, -2.0728040730, 0.5131563850, 0.5404839137, 3.3823603052, 0.0000000000, 5.0000000000, 10.0000000000, 0.0069088333
           7, -0.0463076441, 0.2203842610, 0.0000000000, 0.0000000000, 0.0000000000, -0.0188557103, 0.2203842610, -0.0463076441, 0.0000000000, -0.2101222834, -2.0673381583, 0.5278344169, 0.5370126619, 3.3816442260, 0.0000000000, 5.0000000000, 10.0000000000, 0.0078917667
           8, -0.0471113630, 0.2114319416, 0.0000000000, 0.0000000000, 0.0000000000, -0.0190508473, 0.2114319416, -0.0471113630, 0.0000000000, -0.2228204626, -2.0602670291, 0.5394070414, 0.5307726074, 3.3821392014, 0.0000000000, 5.0000000000, 10.0000000000, 0.0088157333
           9, -0.0467602853, 0.2009823498, 0.0000000000, 0.0000000000, 0.0000000000, -0.0187304897, 0.2009823498, -0.0467602853, 0.0000000000, -0.2326586657, -2.0528081790, 0.5475324779, 0.5200904488, 3.3822247565, 0.0000000000, 5.0000000000, 10.0000000000, 0.0097058000
          10, -0.0446319327, 0.1887941279, 0.0000000000, 0.0000000000, 0.0000000000, -0.0176254157, 0.1887941279, -0.0446319327, 0.0000000000, -0.2364053014, -2.0455831612, 0.5515047471, 0.5029942846, 3.3808946831, 0.0000000000, 5.0000000000, 10.0000000000, 0.0106165500
          11, -0.0400774239, 0.1755115342, 0.0000000000, 0.0000000000, 0.0000000000, -0.0154629214, 0.1755115342, -0.0400774239, 0.0000000000, -0.2283463822, -2.0389201887, 0.5502776473, 0.4771753585, 3.3777993096, 0.0000000000, 5.0000000000, 10.0000000000, 0.0116189167
          12, -0.0329420108, 0.1625658522, 0.0000000000, 0.0000000000, 0.0000000000, -0.0121863749, 0.1625658522, -0.0329420108, 0.0000000000, -0.2026379483, -2.0319431165, 0.5441718316, 0.4422371389, 3.3752225287, 0.0000000000, 5.0000000000, 10.0000000000, 0.0125637667
          13, -0.0232365218, 0.1505896966, 0.0000000000, 0.0000000000, 0.0000000000, -0.0077899649, 0.1505896966, -0.0232365218, 0.0000000000, -0.1543035300, -2.0219199056, 0.5374590599, 0.4022712613, 3.3789040674, 0.0000000000, 5.0000000000, 10.0000000000, 0.0135095500
          14, -0.0116533489, 0.1404892440, 0.0000000000, 0.0000000000, 0.0000000000, -0.0025638246, 0.1404892440, -0.0116533489, 0.0000000000, -0.0829483354, -2.0115514832, 0.5320888307, 0.3569179734, 3.3856029519, 0.0000000000, 5.0000000000, 10.0000000000, 0.0145523167
          15, -0.0008194269, 0.1319693948, 0.0000000000, 0.0000000000, 0.0000000000, 0.0024291875, 0.1319693948, -0.0008194269, 0.0000000000, -0.0062092189, -2.0078936000, 0.5264741729, 0.3042771769, 3.3855965117, 0.0000000000, 5.0000000000, 10.0000000000, 0.0154673333
          16, 0.0077723064, 0.1245007604, 0.0000000000, 0.0000000000, 0.0000000000, 0.0065430101, 0.1245007604, 0.0077723064, 0.0000000000, 0.0624277829, -2.0101363320, 0.5196872425, 0.2616055966, 3.3810698803, 0.0000000000, 5.0000000000, 10.0000000000, 0.0164527167
          17, 0.0149453766, 0.1189104051, 0.0000000000, 0.0000000000, 0.0000000000, 0.0100013992, 0.1189104051, 0.0149453766, 0.0000000000, 0.1256860287, -2.0077379086, 0.5047631946, 0.2372399175, 3.3820183719, 0.0000000000, 5.0000000000, 10.0000000000, 0.0174027667
          18, 0.0220468493, 0.1136417436, 0.0000000000, 0.0000000000, 0.0000000000, 0.0134514990, 0.1136417436, 0.0220468493, 0.0000000000, 0.1940030891, -1.9999097178, 0.4966844496, 0.2248076175, 3.3917570295, 0.0000000000, 5.0000000000, 10.0000000000, 0.0184126833
          19, 0.0282464798, 0.1087061043, 0.0000000000, 0.0000000000, 0.0000000000, 0.0165217642, 0.1087061043, 0.0282464798, 0.0000000000, 0.2598426281, -1.9949705882, 0.4876958141, 0.2128994187, 3.3971028571, 0.0000000000, 5.0000000000, 10.0000000000, 0.0193237500
          20, 0.0330374316, 0.1040266348, 0.0000000000, 0.0000000000, 0.0000000000, 0.0189690794, 0.1040266348, 0.0330374316, 0.0000000000, 0.3175862767, -1.9939946331, 0.4784352568, 0.2073697457, 3.3975766013, 0.0000000000, 5.0000000000, 10.0000000000, 0.0205499500
