"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
74	1.422899961470000e-01	-5.263443049277360e-02	1.141862584654637e+00	2.726400302880811e+02	-3.004880350170393e+01	2.628428258708097e+05	9.195944719827562e+04	2.805516676164893e+02	-3.793278600434658e-01	7.153891331292351e-01	
75	1.314399987460000e-01	-5.137133628795417e-02	1.142625509594560e+00	2.717818591812149e+02	-3.341311007535359e+01	2.628915682718674e+05	9.203214964300476e+04	2.805859987033518e+02	-3.763832327093534e-01	7.136614126998069e-01	
76	1.209499984980000e-01	-5.001187382363489e-02	1.143957187914232e+00	2.707460701460919e+02	-3.697431275846938e+01	2.630559887108850e+05	9.216761771952173e+04	2.806719009934872e+02	-3.708964433379959e-01	7.112406083013523e-01	
77	1.108499988910000e-01	-4.856066993422563e-02	1.145877662407967e+00	2.694803828178928e+02	-4.072582650751148e+01	2.633380181609325e+05	9.237077447975821e+04	2.808191217929219e+02	-3.626680962510328e-01	7.079954261845519e-01	
78	1.011300012470000e-01	-4.701715290498424e-02	1.148432829044415e+00	2.679657605318836e+02	-4.469693313894874e+01	2.637499750150236e+05	9.264708946486611e+04	2.810324871708800e+02	-3.514766616162699e-01	7.038914137145502e-01	
79	9.181000292300000e-02	-4.538527151431038e-02	1.151633558927284e+00	2.661447061100706e+02	-4.890129199831470e+01	2.642919913050914e+05	9.300019228939731e+04	2.813195279240441e+02	-3.371751311417351e-01	6.988188943771749e-01	
80	8.290000259900000e-02	-4.366791468532204e-02	1.155544998955815e+00	2.639857678067722e+02	-5.336700151780832e+01	2.649793397132753e+05	9.343722307601593e+04	2.816847955854246e+02	-3.194743123464335e-01	6.927251493506408e-01	
81	7.440000027400000e-02	-4.186607976498817e-02	1.160210698987005e+00	2.614408898170344e+02	-5.811774680231629e+01	2.658216642506884e+05	9.396384068627945e+04	2.821332288435014e+02	-2.981450074573845e-01	6.855428280232787e-01	
82	6.633000075800000e-02	-3.998513962421356e-02	1.165702222202126e+00	2.584354282900901e+02	-6.318006786113378e+01	2.668335149134810e+05	9.458955134757956e+04	2.826740143272289e+02	-2.728021909486087e-01	6.771387714379508e-01	
83	5.869000032500000e-02	-3.802635805630503e-02	1.172105500567425e+00	2.548898456716195e+02	-6.858979101934683e+01	2.680330475288699e+05	9.532463170863874e+04	2.833144837317556e+02	-2.430296333405603e-01	6.673959117534405e-01	
84	5.149000138000000e-02	-3.599337852580232e-02	1.179516465276049e+00	2.506966143600579e+02	-7.436652059798077e+01	2.694396181013590e+05	9.618140598423737e+04	2.840648245984841e+02	-2.083281737061350e-01	6.561457738517708e-01	
85	4.473999887700000e-02	-3.389028465845557e-02	1.188133528867642e+00	2.456937023988465e+02	-8.053778277412995e+01	2.710929541177280e+05	9.718394651343761e+04	2.849440709944897e+02	-1.677228232693352e-01	6.430761683591181e-01	
86	3.844000026600000e-02	-3.171811260404538e-02	1.198119699038544e+00	2.396714844681822e+02	-8.712103766605472e+01	2.730222692080195e+05	9.835314832571139e+04	2.859686354048407e+02	-1.203672820857870e-01	6.278515271374057e-01	
