"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
57, 3.712300062180000e-01, -5.894684318665333e-02, 9.566500278775988e+04, -2.292437697832129e-01, 6.801067943467861e-01
58, 3.560400009160000e-01, -5.933561549045978e-02, 9.537753524934313e+04, -2.408869101816645e-01, 6.835669561064129e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 9.508356393904547e+04, -2.527934692935677e-01, 6.870231251368420e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 9.478654151356015e+04, -2.648236060542641e-01, 6.904384824551265e-01
61, 3.113999962810000e-01, -5.997565198183213e-02, 9.448671554358478e+04, -2.769672932432652e-01, 6.937716177490965e-01
62, 2.968699932100000e-01, -6.000550062925582e-02, 9.418789112274637e+04, -2.890704152356470e-01, 6.970466462352293e-01
63, 2.825500071050000e-01, -5.994005483718394e-02, 9.389035967663580e+04, -3.011211685801780e-01, 7.001721968791961e-01
64, 2.684499919410000e-01, -5.977765596976551e-02, 9.360006067639666e+04, -3.128789901273686e-01, 7.031871470825150e-01
65, 2.545700073240000e-01, -5.951657836311273e-02, 9.331747668047601e+04, -3.243243350765078e-01, 7.059773528484559e-01
66, 2.409400045870000e-01, -5.915585896897953e-02, 9.304972052242899e+04, -3.351691162224467e-01, 7.085842003605729e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 9.279825054691391e+04, -3.453542670295358e-01, 7.108792294776686e-01
68, 2.144699990750000e-01, -5.813197420944613e-02, 9.257042976502798e+04, -3.545815674885445e-01, 7.129014967456059e-01
69, 2.016600072380000e-01, -5.746811193675738e-02, 9.236903469977497e+04, -3.627385616076391e-01, 7.145142072038059e-01
70, 1.891400069000000e-01, -5.670228146432130e-02, 9.220148083410045e+04, -3.695249041390296e-01, 7.157521560427260e-01
71, 1.769299954180000e-01, -5.583513598033686e-02, 9.207086954010034e+04, -3.748149819058701e-01, 7.164796009694027e-01
72, 1.650400012730000e-01, -5.486709202536137e-02, 9.198443416985641e+04, -3.783158264070784e-01, 7.167278202498493e-01
73, 1.534900069240000e-01, -5.379977779145956e-02, 9.194433360984855e+04, -3.799399974449618e-01, 7.163582897291755e-01
74, 1.422899961470000e-01, -5.263443049277360e-02, 9.195944719827562e+04, -3.793278600434658e-01, 7.153891331292351e-01
75, 1.314399987460000e-01, -5.137133628795417e-02, 9.203214964300476e+04, -3.763832327093534e-01, 7.136614126998069e-01
76, 1.209499984980000e-01, -5.001187382363489e-02, 9.216761771952173e+04, -3.708964433379959e-01, 7.112406083013523e-01
77, 1.108499988910000e-01, -4.856066993422563e-02, 9.237077447975821e+04, -3.626680962510328e-01, 7.079954261845519e-01
78, 1.011300012470000e-01, -4.701715290498424e-02, 9.264708946486611e+04, -3.514766616162699e-01, 7.038914137145502e-01
79, 9.181000292300000e-02, -4.538527151431038e-02, 9.300019228939731e+04, -3.371751311417351e-01, 6.988188943771749e-01
80, 8.290000259900000e-02, -4.366791468532204e-02, 9.343722307601593e+04, -3.194743123464335e-01, 6.927251493506408e-01
81, 7.440000027400000e-02, -4.186607976498817e-02, 9.396384068627945e+04, -2.981450074573845e-01, 6.855428280232787e-01
82, 6.633000075800000e-02, -3.998513962421356e-02, 9.458955134757956e+04, -2.728021909486087e-01, 6.771387714379508e-01
83, 5.869000032500000e-02, -3.802635805630503e-02, 9.532463170863874e+04, -2.430296333405603e-01, 6.673959117534405e-01
84, 5.149000138000000e-02, -3.599337852580232e-02, 9.618140598423737e+04, -2.083281737061350e-01, 6.561457738517708e-01
85, 4.473999887700000e-02, -3.389028465845557e-02, 9.718394651343761e+04, -1.677228232693352e-01, 6.430761683591181e-01
86, 3.844000026600000e-02, -3.171811260404538e-02, 9.835314832571139e+04, -1.203672820857870e-01, 6.278515271374057e-01
